epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2703.46,0.91518,0.50014,0.83655,0.78498,0.74539,0.70249,0.47569,0.78889,0.78174,0.80168,0.00191014,0.00191014,0.00191014
43,2767.11,0.91043,0.49135,0.84056,0.69839,0.76214,0.63559,0.42287,0.80889,1.32018,0.80556,0.00190578,0.00190578,0.00190578
44,2830.75,0.93951,0.49965,0.83227,0.73119,0.74419,0.64897,0.43859,0.79328,1.21961,0.79826,0.00190132,0.00190132,0.00190132
45,2894.32,0.89714,0.48737,0.83759,0.81885,0.77219,0.77486,0.54765,0.75952,0.56587,0.79454,0.00189675,0.00189675,0.00189675
46,2957.96,0.88055,0.47428,0.83535,0.80815,0.78839,0.75352,0.52769,0.75981,0.58828,0.79628,0.0018921,0.0018921,0.0018921
47,3021.53,0.91508,0.49546,0.8307,0.84226,0.77218,0.79041,0.549,0.78419,0.53625,0.79783,0.00188734,0.00188734,0.00188734
48,3085.24,0.89559,0.48016,0.83647,0.78419,0.78894,0.72981,0.5101,0.77255,0.7129,0.8004,0.00188249,0.00188249,0.00188249
49,3149.32,0.89376,0.48352,0.83057,0.72354,0.75712,0.64707,0.43927,0.78796,0.91544,0.79867,0.00187754,0.00187754,0.00187754
50,3212.69,0.88475,0.4788,0.83721,0.79925,0.76026,0.74079,0.51911,0.73429,0.71297,0.79245,0.0018725,0.0018725,0.0018725
51,3276.34,0.89211,0.47838,0.83153,0.85537,0.7627,0.77087,0.53774,0.77866,0.54055,0.79704,0.00186737,0.00186737,0.00186737
52,3340.01,0.89179,0.46869,0.82976,0.87871,0.77052,0.81346,0.5788,0.74702,0.47906,0.79054,0.00186213,0.00186213,0.00186213
53,3403.65,0.89433,0.49128,0.83681,0.84225,0.77387,0.79548,0.56361,0.7379,0.52579,0.79181,0.00185681,0.00185681,0.00185681
54,3467.24,0.86333,0.46517,0.82614,0.58145,0.79732,0.53507,0.36401,0.76503,2.46307,0.79471,0.00185139,0.00185139,0.00185139
55,3530.77,0.87703,0.46638,0.83509,0.86553,0.75828,0.77491,0.53629,0.77798,0.61121,0.79918,0.00184588,0.00184588,0.00184588
